Industry,Packaging_Material,Material_Type,Packaged_Item,Strength,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Packaging_Cost_INR,Strength_Encoded,CO2_Impact_Index,Cost_per_kg,Cost_Efficiency_Index,Material_Suitability_Score,Log_Packaging_Cost,Sustainability_Tier
Electronics,Wheat Straw Pulp Box,Agricultural Waste,Led Bulb,Medium,8.03,89,21,82,43.56,2,84.0,5.4247,88.699,81.208,3.7968,Excellent
Healthcare,Rpet Tray,Recycled Plastic,Syrups,Medium,8.53,9,72,79,2.45,2,18.5,0.2872,99.402,63.484,1.2384,Good
Healthcare,Glass Vial,Glass,Ointments,Medium,5.44,43,54,92,44.1,2,44.5,8.1066,83.113,70.462,3.8089,Good
Food,Corrugated Cardboard,Cardboard,Fruit Juice,High,43.85,71,42,88,3.29,3,64.5,0.075,99.844,86.311,1.4563,Excellent
Cosmetics,Cotton Bag,Natural Fiber,Foundation,Medium,10.51,91,19,84,24.34,2,86.0,2.3159,95.176,83.927,3.2324,Excellent
Healthcare,Pha Bioplastic,Bioplastic,Vaccine,Medium,6.48,89,21,71,5.48,2,84.0,0.8457,98.238,80.843,1.8687,Excellent
Textiles,Kraft Paper,Paper,Jacket,Medium,14.04,64,44,84,27.26,2,60.0,1.9416,95.955,76.322,3.3414,Excellent
Furniture,Honeycomb Board,Cardboard,Bookshelf,High,42.93,75,35,91,2.91,3,70.0,0.0678,99.859,88.715,1.3635,Excellent
Food,Amber Glass Bottle,Glass,Wine,High,30.78,36,58,93,16.39,3,39.0,0.5325,98.891,79.673,2.8559,Excellent
Automotive,Recycled Cardboard Box,Recycled Cardboard,Car Led Lights,High,43.41,74,37,95,5.68,3,68.5,0.1308,99.728,89.232,1.8991,Excellent
Construction,Tin Container,Metal,Caulk,High,16.04,17,71,96,27.14,3,23.0,1.692,96.475,75.019,3.3372,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Oven,High,42.63,67,43,87,19.95,3,62.0,0.468,99.025,85.106,3.0421,Excellent
Toys,Rpet Tray,Recycled Plastic,Building Blocks,Medium,10.99,12,73,75,4.47,2,19.5,0.4067,99.153,62.722,1.6993,Good
Cosmetics,Cork Packaging,Natural Material,Eye Shadow,Medium,9.81,90,24,87,33.87,2,83.0,3.4526,92.808,83.185,3.5516,Excellent
Construction,Hemp Fiber Bag,Natural Fiber,Floor Leveling Compound,Medium,13.57,90,19,87,78.72,2,85.5,5.801,87.916,82.712,4.3785,Excellent
Toys,Corrugated Cardboard,Cardboard,Carrom Board,High,46.86,68,42,88,3.88,3,63.0,0.0828,99.828,85.857,1.5851,Excellent
Healthcare,Kraft Paper,Paper,Antiseptic Cream,Medium,13.64,68,42,86,10.16,2,63.0,0.7449,98.448,78.345,2.4123,Excellent
Toys,Corrugated Cardboard,Cardboard,Football,High,46.65,72,37,93,16.28,3,67.5,0.349,99.273,88.318,2.8495,Excellent
Toys,Bamboo Container,Natural Fiber,Science Kit,High,16.13,93,19,78,6.0,3,87.0,0.372,99.225,90.406,1.9459,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Toaster,High,54.4,71,42,89,21.02,3,64.5,0.3864,99.195,86.399,3.092,Excellent
Electronics,Corrugated Cardboard,Cardboard,Keyboard,High,53.45,69,40,87,21.18,3,64.5,0.3963,99.174,85.893,3.0992,Excellent
Electronics,Honeycomb Board,Cardboard,Hard Drive,High,43.32,73,37,92,1.92,3,68.0,0.0443,99.908,88.377,1.0716,Excellent
Healthcare,Aluminum Tube,Metal,Cotton Swabs,Medium,5.19,23,73,89,28.27,2,25.0,5.447,88.653,65.247,3.3766,Good
Food,Stone Paper,Paper,Chips,Medium,12.58,61,45,83,1.93,2,58.0,0.1534,99.68,76.403,1.075,Excellent
Toys,Molded Pulp,Paper,Remote Control Car,Medium,10.79,79,34,95,3.45,2,72.5,0.3197,99.334,83.667,1.4929,Excellent
Toys,Molded Pulp,Paper,Puzzles,Medium,8.62,80,32,91,13.02,2,74.0,1.5104,96.854,82.497,2.6405,Excellent
Textiles,Kraft Paper,Paper,Socks,Medium,14.55,63,44,82,21.51,2,59.5,1.4784,96.92,75.913,3.114,Excellent
Food,Banana Leaf Wrap,Natural Fiber,Beer,Low,2.23,95,8,99,13.05,1,93.5,5.852,87.809,81.419,2.6426,Excellent
Textiles,Pineapple Fiber Bag,Natural Fiber,Woolen Sweater,Medium,9.88,92,19,89,12.54,2,86.5,1.2692,97.356,85.872,2.6056,Excellent
Automotive,Honeycomb Board,Cardboard,Brake Pads,High,35.63,73,36,94,14.01,3,68.5,0.3932,99.181,88.845,2.7087,Excellent
Automotive,Aluminum Can,Metal,Radiator Cap,High,11.18,21,75,100,8.19,3,23.0,0.7326,98.474,76.518,2.2181,Excellent
Textiles,Sbs Board,Cardboard,Woolen Sweater,Medium,19.85,65,41,84,11.74,2,62.0,0.5914,98.768,77.625,2.5447,Excellent
Electronics,Wood Wool Cushioning,Natural Fiber,Extension Cord,Low,8.86,84,26,85,60.18,1,79.0,6.7923,85.851,73.079,4.1138,Good
Food,Seed Paper,Paper,Pickles,Low,4.6,97,7,88,15.44,1,95.0,3.3565,93.008,80.419,2.7997,Excellent
Home Appliances,Corn Starch Foam,Bioplastic,Water Purifier,Low,2.99,90,22,70,31.65,1,84.0,10.5853,77.949,68.854,3.4858,Good
Textiles,Jute Sack,Natural Fiber,Linen Shirt,High,24.07,86,25,87,3.66,3,80.5,0.1521,99.683,90.821,1.539,Excellent
Furniture,Cork Packaging,Natural Material,Office Chair,Medium,10.15,89,23,87,20.11,2,83.0,1.9813,95.873,83.952,3.0497,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Food Processor,High,56.51,72,41,89,19.58,3,65.5,0.3465,99.278,86.72,3.0243,Excellent
Home Appliances,Wood Wool Cushioning,Natural Fiber,Air Purifier,Low,8.33,84,28,87,6.25,1,78.0,0.7503,98.437,76.426,1.981,Excellent
Toys,Rpet Tray,Recycled Plastic,Science Kit,Medium,11.14,14,72,76,4.51,2,21.0,0.4048,99.157,63.423,1.7066,Good
Food,Wheat Straw Pulp Box,Agricultural Waste,Ghee,Medium,7.34,90,21,84,3.04,2,84.5,0.4142,99.137,84.468,1.3962,Excellent
Textiles,Kraft Paper,Paper,Denim Jeans,Medium,13.41,65,47,82,9.84,2,59.0,0.7338,98.471,76.151,2.3832,Excellent
Construction,Corrugated Cardboard,Cardboard,Marble Polish,High,46.01,71,37,88,2.49,3,67.0,0.0541,99.887,87.072,1.2499,Excellent
Automotive,Steel Can,Metal,Windshield Wiper,High,22.21,19,73,97,18.69,3,23.0,0.8415,98.247,75.712,2.9801,Excellent
Electronics,Molded Pulp,Paper,Led Strip,Medium,8.65,77,35,89,2.56,2,71.0,0.296,99.383,81.729,1.2698,Excellent
Cosmetics,Recycled Cardboard Box,Recycled Cardboard,Face Cream,High,44.92,75,41,89,6.9,3,67.0,0.1536,99.68,87.27,2.0669,Excellent
Food,Bagasse Tray,Bagasse,Fruit Juice,Medium,4.86,89,20,83,6.79,2,84.5,1.3971,97.09,83.706,2.0528,Excellent
Electronics,Corn Starch Foam,Bioplastic,Mouse,Low,2.65,88,19,72,39.53,1,84.5,14.917,68.925,67.248,3.702,Good
Healthcare,Recycled Glass Jar,Recycled Glass,Pain Relief Gel,High,19.38,35,49,96,87.43,3,43.0,4.5114,90.602,79.55,4.4822,Excellent
Electronics,Honeycomb Board,Cardboard,Smart Plug,High,37.97,69,37,90,20.49,3,66.0,0.5396,98.876,87.019,3.0676,Excellent
Food,Steel Can,Metal,Cheese,High,17.49,18,75,98,5.86,3,21.5,0.335,99.302,75.776,1.9257,Excellent
Healthcare,Glass Vial,Glass,Cotton Swabs,Medium,4.91,41,54,94,105.98,2,43.5,21.5845,55.036,63.642,4.6726,Good
Food,Stone Paper,Paper,Yogurt,Medium,13.79,59,51,89,6.22,2,54.0,0.4511,99.06,76.548,1.9769,Excellent
Cosmetics,Aluminum Tube,Metal,Lip Balm,Medium,5.5,22,71,93,87.64,2,25.5,15.9345,66.806,60.935,4.4846,Good
Electronics,Molded Pulp,Paper,Led Strip,Medium,10.74,80,35,94,10.62,2,72.5,0.9888,97.94,83.068,2.4527,Excellent
Construction,Stone Paper,Paper,Caulk,Medium,13.64,59,49,86,5.89,2,55.0,0.4318,99.1,76.108,1.9301,Excellent
Cosmetics,Recycled Glass Jar,Recycled Glass,Lipstick,High,20.38,41,55,97,22.67,3,43.0,1.1124,97.683,81.571,3.1642,Excellent
Electronics,Wheat Straw Pulp Box,Agricultural Waste,Smart Speaker,Medium,6.04,89,22,84,5.81,2,83.5,0.9619,97.996,83.882,1.9184,Excellent
Construction,Jute Sack,Natural Fiber,Putty,High,23.34,86,19,85,36.85,3,83.5,1.5788,96.711,90.478,3.6336,Excellent
Home Appliances,Molded Pulp,Paper,Food Processor,Medium,9.99,75,36,95,1.25,2,69.5,0.1251,99.739,82.868,0.8109,Excellent
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Ceiling Fan,High,45.57,70,36,89,16.89,3,67.0,0.3706,99.228,87.157,2.8842,Excellent
Construction,Tin Container,Metal,Caulk,High,17.19,19,70,96,14.2,3,24.5,0.8261,98.279,75.92,2.7213,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Computer Desk,High,47.92,73,41,92,4.3,3,66.0,0.0897,99.813,87.753,1.6677,Excellent
Cosmetics,Duplex Board,Cardboard,Face Mask,Medium,22.15,68,45,90,22.8,2,61.5,1.0293,97.856,78.747,3.1697,Excellent
Home Appliances,Honeycomb Board,Cardboard,Water Heater,High,40.57,70,41,92,10.4,3,64.5,0.2563,99.466,87.216,2.4336,Excellent
Automotive,Aluminum Can,Metal,Touch Up Paint,High,9.58,17,70,95,34.41,3,23.5,3.5919,92.517,73.929,3.567,Good
Construction,Kraft Paper,Paper,Epoxy Filler,Medium,12.77,66,43,88,5.9,2,61.5,0.462,99.038,78.543,1.9315,Excellent
Textiles,Hemp Fiber Bag,Natural Fiber,Fabric Rolls,Medium,13.64,90,18,88,35.01,2,86.0,2.5667,94.653,84.797,3.5838,Excellent
Textiles,Sbs Board,Cardboard,Jacket,Medium,19.24,65,41,86,58.28,2,62.0,3.0291,93.69,76.856,4.0823,Excellent
Food,Stone Paper,Paper,Turmeric Powder,Medium,10.91,56,46,87,1.39,2,55.0,0.1274,99.735,76.517,0.8713,Excellent
Cosmetics,Duplex Board,Cardboard,Face Cream,Medium,18.21,69,45,90,9.53,2,62.0,0.5233,98.91,79.161,2.3542,Excellent
Cosmetics,Hemp Fiber Bag,Natural Fiber,Toner,Medium,12.4,94,17,84,4.98,2,88.5,0.4016,99.163,85.674,1.7884,Excellent
Healthcare,Recycled Glass Jar,Recycled Glass,Tablets,High,22.88,39,55,94,23.07,3,42.0,1.0083,97.9,80.575,3.181,Excellent
Automotive,Tin Container,Metal,Coolant,High,14.6,22,71,97,5.79,3,25.5,0.3966,99.174,76.694,1.9155,Excellent
Electronics,Corrugated Cardboard,Cardboard,Usb Charger,High,51.5,71,40,92,5.51,3,65.5,0.107,99.777,87.594,1.8733,Excellent
Furniture,Honeycomb Board,Cardboard,Coffee Table,High,45.65,69,39,91,39.93,3,65.0,0.8747,98.178,86.794,3.7119,Excellent
Construction,Jute Sack,Natural Fiber,Waterproofing Chemical,High,22.77,86,23,89,9.87,3,81.5,0.4335,99.097,91.474,2.386,Excellent
Home Appliances,Corn Starch Foam,Bioplastic,Vacuum Cleaner,Low,3.04,84,25,72,41.08,1,79.5,13.5132,71.85,66.479,3.7396,Good
Toys,Corrugated Cardboard,Cardboard,Chess Set,High,43.42,72,39,92,4.9,3,66.5,0.1129,99.765,87.891,1.775,Excellent
Home Appliances,Wheat Straw Pulp Box,Agricultural Waste,Microwave,Medium,6.2,90,21,85,1.64,2,84.5,0.2645,99.449,84.796,0.9708,Excellent
Food,Amber Glass Bottle,Glass,Mustard Sauce,High,27.44,36,54,97,81.15,3,41.0,2.9574,93.839,80.01,4.4085,Excellent
Cosmetics,Frosted Glass Bottle,Glass,Exfoliating Scrub,High,28.18,34,54,98,13.44,3,40.0,0.4769,99.007,81.252,2.67,Excellent
Furniture,Wood Wool Cushioning,Natural Fiber,Computer Desk,Low,8.25,82,22,91,35.9,1,80.0,4.3515,90.935,76.15,3.6082,Excellent
Automotive,Aluminum Can,Metal,Spark Plugs,High,8.98,18,74,99,9.15,3,22.0,1.0189,97.877,75.819,2.3175,Excellent
Electronics,Corn Starch Foam,Bioplastic,Solar Lamp,Low,3.19,90,25,69,61.43,1,82.5,19.2571,59.884,63.638,4.134,Good
Construction,Jute Sack,Natural Fiber,Putty,High,22.72,85,19,87,4.35,3,83.0,0.1915,99.601,91.55,1.6771,Excellent
Furniture,Honeycomb Board,Cardboard,Dining Table,High,44.49,69,37,91,10.02,3,66.0,0.2252,99.531,87.433,2.3997,Excellent
Cosmetics,Pla Bioplastic,Bioplastic,Exfoliating Scrub,Medium,7.71,82,25,73,49.58,2,78.5,6.4306,86.604,76.784,3.9236,Excellent
Electronics,Wheat Straw Pulp Box,Agricultural Waste,Usb Charger,Medium,8.04,91,22,84,8.82,2,84.5,1.097,97.715,84.112,2.2844,Excellent
Cosmetics,Cotton Bag,Natural Fiber,Moisturizer,Medium,9.79,86,23,87,12.64,2,81.5,1.2911,97.31,83.861,2.613,Excellent
Toys,Corrugated Cardboard,Cardboard,Jigsaw Puzzle,High,42.81,68,43,89,19.59,3,62.5,0.4576,99.047,85.762,3.0248,Excellent
Construction,Stone Paper,Paper,Paint,Medium,11.77,56,47,85,4.46,2,54.5,0.3789,99.211,75.736,1.6974,Excellent
Cosmetics,Duplex Board,Cardboard,Sunscreen,Medium,18.45,68,44,88,46.1,2,62.0,2.4986,94.795,77.632,3.8523,Excellent
Healthcare,Aluminum Tube,Metal,Antiseptic Cream,Medium,5.2,22,70,87,35.44,2,26.0,6.8154,85.802,64.334,3.5957,Good
Furniture,Kraft Paper,Paper,Coffee Table,Medium,13.37,63,45,82,12.51,2,59.0,0.9357,98.051,76.046,2.6034,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Side Table,High,41.02,71,40,92,1.16,3,65.5,0.0283,99.941,87.635,0.7701,Excellent
Construction,Kraft Paper,Paper,Floor Leveling Compound,Medium,12.88,68,48,88,14.56,2,60.0,1.1304,97.645,77.745,2.7447,Excellent
Automotive,Molded Pulp,Paper,Cleaning Spray,Medium,8.52,78,34,95,8.15,2,72.0,0.9566,98.007,83.185,2.2138,Excellent
Automotive,Jute Sack,Natural Fiber,Wheel Bearing,High,26.21,90,23,85,57.78,3,83.5,2.2045,95.408,90.152,4.0738,Excellent
Home Appliances,Honeycomb Board,Cardboard,Mixer Grinder,High,41.91,72,38,92,59.51,3,67.0,1.4199,97.042,87.36,4.1028,Excellent
Automotive,Aluminum Can,Metal,Car Led Lights,High,10.78,17,74,95,76.42,3,21.5,7.0891,85.232,71.508,4.3492,Good
Electronics,Wheat Straw Pulp Box,Agricultural Waste,Calculator,Medium,5.99,90,22,81,3.6,2,84.0,0.601,98.748,83.47,1.5261,Excellent
Food,Palm Leaf Plate,Natural Fiber,Coffee,Medium,4.05,91,13,92,2.71,2,89.0,0.6691,98.606,87.685,1.311,Excellent
Cosmetics,Recycled Glass Jar,Recycled Glass,Lip Balm,High,24.42,39,54,93,9.19,3,42.5,0.3763,99.216,80.804,2.3214,Excellent
Home Appliances,Honeycomb Board,Cardboard,Electric Kettle,High,42.71,74,36,92,7.33,3,69.0,0.1716,99.643,88.611,2.1199,Excellent
Food,Cassava Bag,Bioplastic,Coffee,Low,2.64,91,17,91,6.02,1,87.0,2.2803,95.25,79.329,1.9488,Excellent
Construction,Aluminum Can,Metal,Cement Bags,High,11.28,19,75,95,84.64,3,22.0,7.5035,84.369,71.442,4.4502,Good
Home Appliances,Corrugated Cardboard,Cardboard,Microwave,High,43.82,72,40,89,10.17,3,66.0,0.2321,99.516,86.929,2.4132,Excellent
Toys,Corrugated Cardboard,Cardboard,Science Kit,High,44.34,68,41,92,7.47,3,63.5,0.1685,99.649,86.962,2.1365,Excellent
Automotive,Recycled Cardboard Box,Recycled Cardboard,Timing Belt,High,46.86,70,35,90,18.9,3,67.5,0.4033,99.16,87.54,2.9907,Excellent
Home Appliances,Wood Wool Cushioning,Natural Fiber,Juicer,Low,7.6,86,25,90,12.91,1,80.5,1.6987,96.461,77.432,2.6326,Excellent
Construction,Aluminum Can,Metal,Primer,High,8.89,20,71,96,141.11,3,24.5,15.8729,66.934,68.084,4.9566,Good
Food,Bagasse Tray,Bagasse,Soft Drinks,Medium,5.45,95,15,84,30.65,2,90.0,5.6239,88.284,83.404,3.4547,Excellent
Food,Corrugated Cardboard,Cardboard,Fruit Juice,High,54.39,72,38,87,11.35,3,67.0,0.2087,99.565,86.741,2.5137,Excellent
Toys,Kraft Paper,Paper,Soft Toys,Medium,15.83,66,45,85,0.9,2,60.5,0.0569,99.881,77.704,0.6419,Excellent
Electronics,Wheat Straw Pulp Box,Agricultural Waste,Electric Toothbrush,Medium,6.31,88,21,82,9.05,2,83.5,1.4342,97.012,83.136,2.3076,Excellent
Electronics,Recycled Cardboard Box,Recycled Cardboard,Webcam,High,40.24,74,35,95,2.38,3,69.5,0.0591,99.877,89.569,1.2179,Excellent
Electronics,Wheat Straw Pulp Box,Agricultural Waste,Calculator,Medium,7.84,88,24,81,16.96,2,82.0,2.1633,95.493,82.057,2.8881,Excellent
Automotive,Kraft Paper,Paper,Cleaning Spray,Medium,15.76,63,44,88,5.15,2,59.5,0.3268,99.319,78.013,1.8165,Excellent
Automotive,Recycled Cardboard Box,Recycled Cardboard,Spark Plugs,High,40.28,74,37,92,40.74,3,68.5,1.0114,97.893,88.023,3.7315,Excellent
Furniture,Cork Packaging,Natural Material,Dining Table,Medium,11.13,88,20,86,28.66,2,84.0,2.575,94.636,83.692,3.3898,Excellent
Healthcare,Recycled Glass Jar,Recycled Glass,Digestive Enzymes,High,24.72,39,55,94,19.31,3,42.0,0.7811,98.373,80.693,3.0111,Excellent
Automotive,Aluminum Can,Metal,Coolant,High,10.7,21,72,100,94.56,3,24.5,8.8374,81.59,72.748,4.5598,Good
Healthcare,Rpet Tray,Recycled Plastic,Antiseptic Cream,Medium,9.33,9,73,81,36.57,2,18.0,3.9196,91.835,61.942,3.6262,Good
Furniture,Wood Wool Cushioning,Natural Fiber,Shoe Rack,Low,7.95,83,26,86,7.19,1,78.5,0.9044,98.116,76.246,2.1029,Excellent
Furniture,Honeycomb Board,Cardboard,Shoe Rack,High,44.29,71,41,93,2.56,3,65.0,0.0578,99.88,87.72,1.2698,Excellent
Construction,Kraft Paper,Paper,Tile Cleaner,Medium,16.85,68,46,82,15.78,2,61.0,0.9365,98.049,76.646,2.8202,Excellent
Textiles,Kraft Paper,Paper,Blankets,Medium,15.03,65,47,86,1.03,2,59.0,0.0685,99.857,77.498,0.708,Excellent
Cosmetics,Amber Glass Bottle,Glass,Conditioner,High,29.79,32,54,92,167.75,3,39.0,5.6311,88.269,76.767,5.1284,Excellent
Cosmetics,Duplex Board,Cardboard,Hair Color,Medium,22.92,66,39,85,20.07,2,63.5,0.8757,98.176,78.177,3.0479,Excellent
Toys,Pla Bioplastic,Bioplastic,Frisbee,Medium,7.5,82,23,69,6.04,2,79.5,0.8053,98.322,79.014,1.9516,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Mattress,High,39.72,69,39,95,41.67,3,65.0,1.0491,97.815,87.704,3.7535,Excellent
Textiles,Corrugated Cardboard,Cardboard,Silk Dupatta,High,55.91,70,41,90,3.31,3,64.5,0.0592,99.877,86.819,1.4609,Excellent
Home Appliances,Corn Starch Foam,Bioplastic,Juicer,Low,2.89,86,21,72,34.1,1,82.5,11.7993,75.42,68.272,3.5582,Good
Automotive,Honeycomb Board,Cardboard,Cleaning Spray,High,43.0,74,41,89,22.82,3,66.5,0.5307,98.894,86.924,3.1705,Excellent
Food,Steel Can,Metal,Dry Fruits,High,18.57,17,77,95,100.44,3,20.0,5.4087,88.733,71.933,4.6195,Good
Food,Clear Glass Bottle,Glass,Sugar,High,26.5,36,52,96,49.08,3,42.0,1.8521,96.142,80.636,3.9136,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Wardrobe,High,49.25,69,38,89,8.72,3,65.5,0.1771,99.631,86.808,2.2742,Excellent
Electronics,Honeycomb Board,Cardboard,Led Bulb,High,38.93,71,40,89,6.66,3,65.5,0.1711,99.644,86.811,2.036,Excellent
Electronics,Rice Husk Tray,Agricultural Waste,Smart Speaker,Medium,5.69,88,19,84,1.87,2,84.5,0.3286,99.315,84.512,1.0543,Excellent
Automotive,Kraft Paper,Paper,Cleaning Spray,Medium,16.21,62,46,86,23.06,2,58.0,1.4226,97.036,76.492,3.1806,Excellent
Food,Corn Starch Foam,Bioplastic,Cake,Low,3.29,84,25,75,66.15,1,79.5,20.1064,58.115,63.795,4.2069,Good
Textiles,Cotton Bag,Natural Fiber,Socks,Medium,10.93,87,23,83,59.19,2,82.0,5.4154,88.719,80.863,4.0975,Excellent
Healthcare,Sbs Board,Cardboard,Thermometer Strips,Medium,17.99,64,43,85,7.59,2,60.5,0.4219,99.121,77.514,2.1506,Excellent
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Vacuum Cleaner,High,44.78,72,38,95,19.83,3,67.0,0.4428,99.078,88.619,3.0364,Excellent
Electronics,Wood Wool Cushioning,Natural Fiber,Laptop,Low,7.78,87,23,91,46.95,1,82.0,6.0347,87.429,75.874,3.8702,Excellent
Textiles,Seed Paper,Paper,Blankets,Low,4.42,96,8,90,14.93,1,94.0,3.3778,92.963,80.607,2.7682,Excellent
Furniture,Honeycomb Board,Cardboard,Bed Frame,High,38.36,73,40,93,5.65,3,66.5,0.1473,99.693,88.123,1.8946,Excellent
Healthcare,Recycled Glass Jar,Recycled Glass,Antiseptic Cream,High,21.92,39,53,98,26.03,3,43.0,1.1875,97.526,81.782,3.2969,Excellent
Automotive,Recycled Cardboard Box,Recycled Cardboard,Coolant,High,43.78,75,38,94,8.56,3,68.5,0.1955,99.593,88.948,2.2576,Excellent
Food,Kraft Paper,Paper,Coconut Oil,Medium,14.35,67,45,83,17.83,2,61.0,1.2425,97.412,76.736,2.9355,Excellent
Furniture,Kraft Paper,Paper,Sofa,Medium,15.76,68,46,85,11.57,2,61.0,0.7341,98.471,77.501,2.5313,Excellent
Construction,Jute Sack,Natural Fiber,Waterproofing Chemical,High,22.3,89,20,85,6.01,3,84.5,0.2695,99.439,91.46,1.9473,Excellent
Textiles,Kraft Paper,Paper,Salwar Kameez,Medium,14.55,64,45,88,5.76,2,59.5,0.3959,99.175,77.977,1.911,Excellent
Food,Rice Husk Tray,Agricultural Waste,Cooking Oil,Medium,6.21,92,18,82,6.17,2,87.0,0.9936,97.93,84.416,1.9699,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Sofa,High,45.42,75,41,90,6.82,3,67.0,0.1502,99.687,87.522,2.0567,Excellent
Healthcare,Aluminum Tube,Metal,Supplements,Medium,4.56,21,73,87,19.36,2,24.0,4.2456,91.156,65.072,3.0136,Good
Toys,Molded Pulp,Paper,Soft Toys,Medium,9.95,77,36,91,0.97,2,70.5,0.0975,99.797,82.183,0.678,Excellent
Construction,Aluminum Can,Metal,Caulk,High,10.97,20,71,95,13.19,3,24.5,1.2024,97.495,75.474,2.6525,Excellent
Construction,Stone Paper,Paper,Wall Putty,Medium,11.76,61,48,86,4.96,2,56.5,0.4218,99.121,76.564,1.7851,Excellent
Furniture,Kraft Paper,Paper,Storage Ottoman,Medium,14.07,67,48,85,5.81,2,59.5,0.4129,99.14,77.218,1.9184,Excellent
Electronics,Recycled Cardboard Box,Recycled Cardboard,Usb Charger,High,44.68,70,35,93,49.1,3,67.5,1.0989,97.711,87.928,3.914,Excellent
Food,Corn Starch Foam,Bioplastic,Cheese,Low,2.66,89,19,69,19.1,1,85.0,7.1805,85.042,70.677,3.0007,Good
Healthcare,Recycled Glass Jar,Recycled Glass,Pain Relief Gel,High,21.37,37,50,97,61.38,3,43.5,2.8723,94.017,80.804,4.1332,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Oven,High,51.7,70,42,89,2.23,3,64.0,0.0431,99.91,86.428,1.1725,Excellent
Automotive,Honeycomb Board,Cardboard,Oil Filter,High,34.33,70,35,89,20.91,3,67.5,0.6091,98.731,87.183,3.0869,Excellent
Food,Glassine Paper,Paper,Milk,Low,6.35,60,52,84,13.79,1,54.0,2.1717,95.476,67.736,2.694,Good
Toys,Rpet Tray,Recycled Plastic,Building Blocks,Medium,9.22,14,69,75,3.74,2,22.5,0.4056,99.155,63.622,1.556,Good
Automotive,Honeycomb Board,Cardboard,Wheel Bearing,High,43.92,75,35,93,13.34,3,70.0,0.3037,99.367,89.092,2.6631,Excellent
Construction,Recycled Cardboard Box,Recycled Cardboard,Concrete Hardener,High,39.34,72,39,90,1.45,3,66.5,0.0369,99.923,87.431,0.8961,Excellent
Cosmetics,Glass Jar,Glass,Hair Color,High,27.42,39,56,93,43.51,3,41.5,1.5868,96.694,79.874,3.7957,Excellent
Healthcare,Glassine Paper,Paper,Diagnostic Kits,Low,6.04,62,49,85,7.59,1,56.5,1.2566,97.382,69.212,2.1506,Good
Toys,Corrugated Cardboard,Cardboard,Card Game,High,46.19,70,41,88,4.32,3,64.5,0.0935,99.805,86.301,1.6715,Excellent
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Toaster,High,50.78,74,38,92,4.42,3,68.0,0.087,99.819,88.355,1.6901,Excellent
Home Appliances,Molded Pulp,Paper,Vacuum Cleaner,Medium,10.32,79,37,92,4.47,2,71.0,0.4331,99.098,82.408,1.6993,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Outdoor Furniture,High,41.87,69,39,94,5.23,3,65.0,0.1249,99.74,87.935,1.8294,Excellent
Healthcare,Recycled Cardboard Box,Recycled Cardboard,Digestive Enzymes,High,42.49,73,35,92,27.45,3,69.0,0.646,98.654,88.364,3.3481,Excellent
Electronics,Wheat Straw Pulp Box,Agricultural Waste,Smart Speaker,Medium,7.31,88,19,83,2.13,2,84.5,0.2914,99.393,84.282,1.141,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Wall Shelf,High,39.32,73,39,94,7.52,3,67.0,0.1913,99.601,88.5,2.1424,Excellent
Toys,Pla Bioplastic,Bioplastic,Action Figures,Medium,8.14,86,23,68,5.48,2,81.5,0.6732,98.598,79.433,1.8687,Excellent
Toys,Rpet Tray,Recycled Plastic,Remote Control Car,Medium,10.25,12,72,80,10.55,2,20.0,1.0293,97.856,63.797,2.4467,Good
Automotive,Jute Sack,Natural Fiber,Car Battery,High,27.5,88,24,85,70.02,3,82.0,2.5462,94.696,89.524,4.263,Excellent
Healthcare,Rpet Tray,Recycled Plastic,Blood Glucose Strips,Medium,10.06,10,72,78,4.63,2,19.0,0.4602,99.041,63.294,1.7281,Good
Automotive,Molded Pulp,Paper,Car Battery,Medium,9.11,79,33,94,1.61,2,73.0,0.1767,99.632,83.641,0.9594,Excellent
Food,Bagasse Tray,Bagasse,Cookies,Medium,5.08,91,15,88,16.82,2,88.0,3.311,93.103,85.009,2.8803,Excellent
Electronics,Honeycomb Board,Cardboard,Hard Drive,High,42.25,71,41,91,9.66,3,65.0,0.2286,99.524,87.131,2.3665,Excellent
Textiles,Cotton Bag,Natural Fiber,Socks,Medium,9.43,87,20,83,10.16,2,83.5,1.0774,97.756,83.572,2.4123,Excellent
Construction,Hemp Fiber Bag,Natural Fiber,Grout,Medium,11.06,94,21,85,17.82,2,86.5,1.6112,96.644,84.694,2.9349,Excellent
